설정거리_m,GT거리_mm,frame,마스크IoU,오선택,화면잘림,GT면적px,coarse_R_deg,coarse_t_mm,refined_R_deg,refined_t_mm,RH1_R_deg,RH1_t_mm,RH1_ADD_mm,RH1_KPI
0.30,288.5,frame_0000,0.9742,0,1,704976,0.4505,3.3532,1.3356,1.0694,0.4505,1.0694,1.4217,1
0.30,287.0,frame_0001,0.99,0,1,746147,0.9745,1.5753,1.3242,0.6964,0.9745,0.6964,1.6092,1
0.30,308.1,frame_0002,0.9895,0,1,638189,0.54,1.3015,1.3172,0.7368,0.54,0.7368,1.2442,1
0.30,321.4,frame_0003,0.8911,0,1,562308,0.6813,3.2607,1.6659,0.5452,0.6813,0.5452,1.0802,1
0.30,322.7,frame_0004,0.9897,0,1,617588,1.4248,5.5137,1.1218,1.3364,1.4248,1.3364,2.452,1
0.30,281.6,frame_0005,0.9762,0,0,446435,3.2532,7.8575,1.4862,29.4919,3.2532,29.4919,30.0003,0
0.30,296.9,frame_0006,0.9913,0,1,717105,0.6968,3.3363,1.3016,1.4757,0.6968,1.4757,2.01,1
0.30,305.7,frame_0007,0.9872,0,1,692760,0.5627,1.69,1.6369,1.0611,0.5627,1.0611,1.4726,1
0.30,278.1,frame_0008,0.9912,0,1,740632,0.4776,1.7291,1.2872,0.9803,0.4776,0.9803,1.362,1
0.30,322.9,frame_0009,0.9893,0,1,595046,0.9041,5.9791,0.8527,29.6154,0.9041,29.6154,29.8869,0
0.30,321.8,frame_0010,0.99,0,1,626019,0.5035,2.3866,0.8652,1.23,0.5035,1.23,1.6381,1
0.30,293.9,frame_0011,0.8229,0,1,673526,0.7511,1.3522,0.7985,1.0568,0.7511,1.0568,1.5003,1
0.30,292.8,frame_0012,0.9876,0,0,677685,0.6806,3.6926,0.2181,28.4934,0.6806,28.4934,28.5731,0
0.30,302.7,frame_0013,0.8667,0,1,638007,0.3859,3.3472,0.8874,1.4296,0.3859,1.4296,1.4463,1
0.30,310.4,frame_0014,0.9707,0,0,621539,1.2379,5.1232,1.0346,0.7964,1.2379,0.7964,1.9997,1
0.30,315.5,frame_0015,0.9888,0,0,645593,0.5477,5.6122,0.7429,1.4748,0.5477,1.4748,2.0312,1
0.30,316.4,frame_0016,0.989,0,1,635539,0.7611,6.2432,1.0286,1.3942,0.7611,1.3942,1.7711,1
0.30,278.7,frame_0017,0.982,0,1,784124,0.6864,3.5989,0.5489,0.7729,0.6864,0.7729,1.4558,1
0.30,329.1,frame_0018,0.9903,0,0,560220,0.3952,6.9543,1.0991,1.5398,0.3952,1.5398,1.5703,1
0.30,290.3,frame_0019,0.9877,0,1,707725,0.4624,3.1217,0.4541,0.7554,0.4624,0.7554,0.9878,1
0.30,278.8,frame_0020,0.9893,0,1,779237,0.3465,2.6199,0.969,1.1212,0.3465,1.1212,1.1144,1
0.30,293.3,frame_0021,0.9909,0,1,751647,0.5061,2.9289,1.5586,0.7129,0.5061,0.7129,1.1193,1
0.30,329.8,frame_0022,0.9841,0,1,536656,0.339,5.4428,0.9339,0.9592,0.339,0.9592,1.1655,1
0.30,278.9,frame_0023,0.9751,0,1,673584,1.0599,5.6349,2.1662,0.977,1.0599,0.977,1.8239,1
0.30,319.5,frame_0024,0.9714,0,0,365180,0.7206,4.9551,1.2539,1.0182,0.7206,1.0182,1.5677,1
