사다리,방해물FOUP,거리대,GT거리_mm,frame,마스크IoU,오선택,화면잘림,coarse_R_deg,coarse_t_mm,refined_R_deg,refined_t_mm,RH1_R_deg,RH1_t_mm,RH1_ADD_mm,RH1_KPI,IoU_sf03,오선택_sf03
다중,2,0.30,291.3,frame_0000,0.9716,0,1,1.2293,3.5683,0.3408,0.809,1.2293,0.809,2.0928,1,0.9716,0
다중,2,0.30,274.2,frame_0001,0.0,1,1,16.379,1102.6881,18.9304,1102.3815,16.379,1102.3815,1103.056,0,0.8956,0
다중,2,0.30,279.8,frame_0002,0.0,1,1,47.2473,17.495,45.1163,0.8225,47.2473,0.8225,55.1921,0,0.8677,0
다중,2,0.30,312.5,frame_0003,0.9764,0,1,0.4445,2.0301,0.2393,0.436,0.4445,0.436,0.8089,1,0.9764,0
다중,2,0.30,285.3,frame_0004,0.7841,0,1,0.4073,7.6323,0.1688,0.9517,0.4073,0.9517,1.1619,1,0.7841,0
다중,2,0.30,292.0,frame_0005,0.8747,0,1,0.7671,2.675,0.3329,0.6328,0.7671,0.6328,1.3634,1,0.8747,0
다중,2,0.30,322.2,frame_0006,0.9893,0,0,0.6161,3.2964,0.6323,0.9362,0.6161,0.9362,1.436,1,0.9893,0
다중,2,0.30,292.3,frame_0007,0.8918,0,0,0.5125,2.5511,0.5072,0.5903,0.5125,0.5903,1.0378,1,0.8918,0
다중,2,0.30,277.9,frame_0008,0.6836,0,1,1.665,6.549,0.4249,0.8952,1.665,0.8952,2.6006,1,0.2091,1
다중,2,0.30,280.6,frame_0009,0.9805,0,1,0.7831,4.0849,0.536,0.5024,0.7831,0.5024,1.2068,1,0.9805,0
다중,2,0.30,325.6,frame_0010,0.9814,0,0,0.3392,2.3976,0.2205,0.3188,0.3392,0.3188,0.5613,1,0.9814,0
다중,2,0.30,291.2,frame_0011,0.8953,0,1,1.1607,3.3639,0.3871,0.5605,1.1607,0.5605,1.8058,1,0.8953,0
다중,2,0.30,290.2,frame_0012,0.8777,0,1,1.4602,2.0163,0.2402,0.9004,1.4602,0.9004,2.2795,1,0.8777,0
다중,2,0.30,287.0,frame_0013,0.0,1,1,143.22,726.0952,143.4398,728.5125,143.22,728.5125,736.3729,0,0.9793,0
다중,2,0.30,322.1,frame_0014,0.9423,0,1,1.031,2.5414,0.4951,0.5409,1.031,0.5409,1.651,1,0.9423,0
다중,2,0.30,299.0,frame_0015,0.8391,0,1,1.5418,4.4481,0.2645,0.9353,1.5418,0.9353,2.602,1,0.8391,0
다중,2,0.30,304.4,frame_0016,0.8646,0,0,1.447,1.6482,0.5792,0.7606,1.447,0.7606,2.2702,1,0.8646,0
다중,2,0.30,286.1,frame_0017,0.0,1,1,32.4052,722.5873,32.9219,725.8317,32.4052,725.8317,728.068,0,0.9231,0
다중,2,0.30,290.6,frame_0018,0.0001,1,1,0.9091,4.7581,0.3526,0.8111,0.9091,0.8111,1.6664,1,0.863,0
다중,2,0.30,295.9,frame_0019,0.0,1,1,68.3101,893.6114,65.3825,897.8598,68.3101,897.8598,899.3644,0,0.9025,0
다중,2,0.30,315.2,frame_0020,0.0001,1,1,0.7695,5.9614,0.2231,0.5454,0.7695,0.5454,1.343,1,0.851,0
